"コード","銘柄名","市場"
"7097","さくらさくプラス","東G"
"7110","クラシコム","東G"
"7112","キューブ","東G"
"7114","フーディソン","東G"
"7119","ハルメクＨＬＤＧ","東G"
"7133","ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　Ｃ","東G"
"7138","ＴＯＲＩＣＯ","東G"
"7140","ペットゴー","東G"
"7157","ライフネット生命保険","東G"
"7317","松屋アールアンドディ","東G"
"7318","セレンディップＨＬＤＧ","東G"
"7320","日本リビング保証","東G"
"7325","アイリックコーポレーション","東G"
"7326","ＳＢＩインシュアランスグループ","東G"
"7342","ウェルスナビ","東G"
"7343","ブロードマインド","東G"
"7345","アイ・パートナーズフィナンシャ","東G"
"7351","グッドパッチ","東G"
"7352","Ｂｒａｎｄｉｎｇ　Ｅｎｇｉｎｅ","東G"
"7353","ＫＩＹＯラーニング","東G"
"7356","ＲＥＴＴＹ","東G"
"7359","東京通信グループ","東G"
"7360","オンデック","東G"
"7361","ヒューマンクリエイションＨＬＤ","東G"
"7362","Ｔ．Ｓ．Ｉ","東G"
"7363","ベビーカレンダー","東G"
"7369","メイホーＨＬＤＧ","東G"
"7370","Ｅｎｊｉｎ","東G"
"7371","全研本社","東G"
"7372","デコルテＨＬＤＧ","東G"
"7373","アイドマＨＬＤＧ","東G"
"7374","コンフィデンス","東G"
"7375","リファインバースグループ","東G"
"7376","ＢＣＣ","東G"
"7378","アシロ","東G"
"7379","サーキュレーション","東G"
"7386","ジャパンワランティサポート","東G"
"7388","ＦＰパートナー","東G"
"7671","ＡｍｉｄＡ　ＨＬＤＧ","東G"
"7674","ＮＡＴＴＹ　ＳＷＡＮＫＹＨＬＤ","東G"
"7676","グッドスピード","東G"
"7683","ダブルエー","東G"
"7685","ＢｕｙＳｅｌｌ　Ｔｅｃｈ","東G"
"7687","ミクリード","東G"
"7689","コパ・コーポレーション","東G"
"7694","いつも","東G"
"7695","交換できるくん","東G"
"7699","オムニ・プラス・システム","東G"
"7707","プレシジョン・システム・サイエ","東G"
"7774","ジャパン・ティッシュエンジニア","東G"
"7776","セルシード","東G"
"7777","スリー・ディー・マトリックス","東G"
"7779","ＣＹＢＥＲＤＹＮＥ","東G"
"7792","コラントッテ","東G"
"7793","イメージ・マジック","東G"
"7794","イーディーピー","東G"
"7803","ブシロード","東G"
"7806","ＭＴＧ","東G"
"7813","プラッツ","東G"
"7829","サマンサタバサジャパン","東G"
