"コード","銘柄名","市場"
"4043","トクヤマ","東P"
"4044","セントラル硝子","東P"
"4045","東亞合成","東P"
"4046","大阪ソーダ","東P"
"4047","関東電化工業","東P"
"4053","Ｓｕｎ　Ａｓｔｅｒｉｓｋ","東P"
"4061","デンカ","東P"
"4062","イビデン","東P"
"4063","信越化学工業","東P"
"4064","日本カーバイド工業","東P"
"4072","電算システムＨＬＤＧ","東P"
"4078","堺化学工業","東P"
"4082","第一稀元素化学工業","東P"
"4088","エア・ウォーター","東P"
"4091","日本酸素ＨＤ","東P"
"4092","日本化学工業","東P"
"4093","東邦アセチレン","東P"
"4095","日本パーカライジング","東P"
"4097","高圧ガス工業","東P"
"4098","チタン工業","東P"
"4099","四国化成ＨＬＤＧ","東P"
"4100","戸田工業","東P"
"4109","ステラ　ケミファ","東P"
"4112","保土谷化学工業","東P"
"4114","日本触媒","東P"
"4116","大日精化工業","東P"
"4118","カネカ","東P"
"4151","協和キリン","東P"
"4180","Ａｐｐｉｅｒ　Ｇｒｏｕｐ","東P"
"4182","三菱瓦斯化学","東P"
"4183","三井化学","東P"
"4185","ＪＳＲ","東P"
"4186","東京応化工業","東P"
"4187","大阪有機化学工業","東P"
"4188","三菱ケミカルグループ","東P"
"4189","ＫＨネオケム","東P"
"4202","ダイセル","東P"
"4203","住友ベークライト","東P"
"4204","積水化学工業","東P"
"4205","日本ゼオン","東P"
"4206","アイカ工業","東P"
"4208","ＵＢＥ","東P"
"4212","積水樹脂","東P"
"4215","タキロンシーアイ","東P"
"4216","旭有機材","東P"
"4218","ニチバン","東P"
"4220","リケンテクノス","東P"
"4221","大倉工業","東P"
"4228","積水化成品工業","東P"
"4229","群栄化学工業","東P"
"4245","ダイキアクシス","東P"
"4246","ダイキョーニシカワ","東P"
"4248","竹本容器","東P"
"4249","森六ＨＬＤＧ","東P"
"4251","恵和","東P"
"4272","日本化薬","東P"
"4275","カーリットＨＬＤＧ","東P"
"4284","ソルクシーズ","東P"
"4286","ＣＬＨＬＤＧ","東P"
"4290","プレステージ・インターナショナ","東P"
"4295","フェイス","東P"
"4298","プロトコーポレーション","東P"
"4299","ハイマックス","東P"
"4301","アミューズ","東P"
"4307","野村総合研究所","東P"
"4310","ドリームインキュベータ","東P"
"4318","クイック","東P"
"4320","ＣＥ　ＨＬＤＧ","東P"
"4323","日本システム技術","東P"
"4324","電通グループ","東P"
"4326","インテージＨＬＤＧ","東P"
"4331","テイクアンドギヴ・ニーズ","東P"
"4333","東邦システムサイエンス","東P"
"4337","ぴあ","東P"
"4343","イオンファンタジー","東P"
"4344","ソースネクスト","東P"
"4345","シーティーエス","東P"
"4346","ネクシィーズグループ","東P"
"4348","インフォコム","東P"
"4350","メディカルシステムネットワーク","東P"
"4362","日本精化","東P"
"4368","扶桑化学工業","東P"
"4369","トリケミカル研究所","東P"
"4373","シンプレクス・ＨＬＤＧ","東P"
"4382","ＨＥＲＯＺ","東P"
"4384","ラクスル","東P"
"4385","メルカリ","東P"
"4390","ＩＰＳ","東P"
"4392","ＦＩＧ","東P"
"4396","システムサポート","東P"
"4401","ＡＤＥＫＡ","東P"
"4403","日油","東P"
"4410","ハリマ化成グループ","東P"
"4420","イーソル","東P"
"4423","アルテリア・ネットワークス","東P"
"4432","ウイングアーク１ｓｔ","東P"
"4433","ヒト・コミュニケーションズＨＤ","東P"
"4434","サーバーワークス","東P"
"4439","東名","東P"
"4441","トビラシステムズ","東P"
"4443","Ｓａｎｓａｎ","東P"
"4446","Ｌｉｎｋ―Ｕ","東P"
"4449","ギフティ","東P"
"4452","花王","東P"
"4461","第一工業製薬","東P"
"4462","石原ケミカル","東P"
"4463","日華化学","東P"
"4465","ニイタカ","東P"
"4471","三洋化成工業","東P"
"4480","メドレー","東P"
"4481","ベース","東P"
"4483","ＪＭＤＣ","東P"
"4502","武田薬品工業","東P"
"4503","アステラス製薬","東P"
"4506","住友ファーマ","東P"
"4507","塩野義製薬","東P"
"4516","日本新薬","東P"
"4519","中外製薬","東P"
"4521","科研製薬","東P"
"4523","エーザイ","東P"
"4526","理研ビタミン","東P"
"4527","ロート製薬","東P"
"4528","小野薬品工業","東P"
"4530","久光製薬","東P"
"4534","持田製薬","東P"
"4536","参天製薬","東P"
"4538","扶桑薬品工業","東P"
"4539","日本ケミファ","東P"
"4540","ツムラ","東P"
"4543","テルモ","東P"
"4544","Ｈ．Ｕ．グループＨＬＤＧ","東P"
"4547","キッセイ薬品工業","東P"
"4548","生化学工業","東P"
"4549","栄研化学","東P"
"4551","鳥居薬品","東P"
"4552","ＪＣＲファーマ","東P"
"4553","東和薬品","東P"
"4554","富士製薬工業","東P"
"4559","ゼリア新薬工業","東P"
"4565","そーせいグループ","東P"
"4568","第一三共","東P"
"4569","杏林製薬","東P"
"4574","大幸薬品","東P"
"4577","ダイト","東P"
"4578","大塚ＨＬＤＧ","東P"
"4587","ペプチドリーム","東P"
"4611","大日本塗料","東P"
"4612","日本ペイントＨＬＤＧ","東P"
"4613","関西ペイント","東P"
"4617","中国塗料","東P"
"4619","日本特殊塗料","東P"
"4620","藤倉化成","東P"
"4626","太陽ＨＬＤＧ","東P"
"4631","ＤＩＣ","東P"
"4633","サカタインクス","東P"
"4634","東洋インキＳＣ　ＨＬＤＧ","東P"
"4636","Ｔ＆Ｋ　ＴＯＫＡ","東P"
"4641","アルプス技研","東P"
"4651","サニックス","東P"
"4658","日本空調サービス","東P"
"4661","オリエンタルランド","東P"
"4662","フォーカスシステムズ","東P"
"4665","ダスキン","東P"
"4666","パーク２４","東P"
"4668","明光ネットワークジャパン","東P"
"4671","ファルコＨＬＤＧ","東P"
"4674","クレスコ","東P"
"4676","フジ・メディアＨＬＤＧ","東P"
"4680","ラウンドワン","東P"
"4681","リゾートトラスト","東P"
"4684","オービック","東P"
"4686","ジャストシステム","東P"
"4687","ＴＤＣソフト","東P"
"4689","Ｚ　ＨＬＤＧ","東P"
"4694","ビー・エム・エル","東P"
"4704","トレンドマイクロ","東P"
"4708","りらいあコミュニケーションズ","東P"
"4709","ＩＤ　ＨＬＤＧ","東P"
"4714","リソー教育","東P"
"4718","早稲田アカデミー","東P"
"4719","アルファシステムズ","東P"
"4722","フューチャー","東P"
"4725","ＣＡＣ　ＨＬＤＧ","東P"
"4726","ＳＢテクノロジー","東P"
"4732","ユー・エス・エス","東P"
"4733","オービックビジネスコンサルタン","東P"
"4739","伊藤忠テクノソリューションズ","東P"
"4743","アイティフォー","東P"
"4745","東京個別指導学院","東P"
"4751","サイバーエージェント","東P"
"4755","楽天グループ","東P"
"4763","クリーク・アンド・リバー社","東P"
"4765","ＳＢＩグローバルアセットマネジ","東P"
"4767","テー・オー・ダブリュー","東P"
"4768","大塚商会","東P"
"4776","サイボウズ","東P"
"4792","山田コンサルティンググループ","東P"
"4801","セントラルスポーツ","東P"
"4809","パラカ","東P"
"4812","電通国際情報サービス","東P"
"4813","ＡＣＣＥＳＳ","東P"
"4819","デジタルガレージ","東P"
"4820","イーエムシステムズ","東P"
"4825","ウェザーニューズ","東P"
"4826","ＣＩＪ","東P"
"4828","ビジネスエンジニアリング","東P"
"4839","ＷＯＷＯＷ","東P"
"4845","スカラ","東P"
"4847","インテリジェント　ウェイブ","東P"
"4848","フルキャストＨＬＤＧ","東P"
"4849","エン・ジャパン","東P"
"4886","あすか製薬ＨＬＤＧ","東P"
"4887","サワイグループＨＬＤＧ","東P"
"4901","富士フイルムＨＬＤＧ","東P"
"4902","コニカミノルタ","東P"
"4911","資生堂","東P"
"4912","ライオン","東P"
"4914","高砂香料工業","東P"
"4917","マンダム","東P"
"4919","ミルボン","東P"
"4921","ファンケル","東P"
"4922","コーセー","東P"
"4923","コタ","東P"
"4927","ポーラ・オルビスＨＬＤＧ","東P"
"4928","ノエビアＨＬＤＧ","東P"
"4929","アジュバンＨＬＤＧ","東P"
"4931","新日本製薬","東P"
"4936","アクシージア","東P"
"4951","エステー","東P"
"4955","アグロ　カネショウ","東P"
"4956","コニシ","東P"
"4958","長谷川香料","東P"
"4963","星光ＰＭＣ","東P"
"4967","小林製薬","東P"
"4968","荒川化学工業","東P"
"4971","メック","東P"
"4973","日本高純度化学","東P"
"4974","タカラバイオ","東P"
"4975","ＪＣＵ","東P"
"4977","新田ゼラチン","東P"
"4979","ＯＡＴアグリオ","東P"
