"コード","銘柄名","市場"
"5820","三ッ星","東S"
"5856","エルアイイーエイチ","東S"
"5900","ダイケン","東S"
"5903","シンポ","東S"
"5905","日本製罐","東S"
"5906","エムケー精工","東S"
"5909","コロナ","東S"
"5918","瀧上工業","東S"
"5921","川岸工業","東S"
"5922","那須電機鉄工","東S"
"5923","高田機工","東S"
"5928","アルメタックス","東S"
"5935","元旦ビューティ工業","東S"
"5936","東洋シヤッター","東S"
"5939","大谷工業","東S"
"5940","不二サッシ","東S"
"5941","中西製作所","東S"
"5942","日本フイルコン","東S"
"5945","天龍製鋸","東S"
"5950","日本パワーファスニング","東S"
"5951","ダイニチ工業","東S"
"5952","アマテイ","東S"
"5955","ヤマシナ","東S"
"5956","トーソー","東S"
"5958","三洋工業","東S"
"5962","浅香工業","東S"
"5965","フジマック","東S"
"5966","京都機械工具","東S"
"5967","ＴＯＮＥ","東S"
"5969","ロブテックス","東S"
"5971","共和工業所","東S"
"5973","トーアミ","東S"
"5974","中国工業","東S"
"5982","マルゼン","東S"
"5983","イワブチ","東S"
"5984","兼房","東S"
"5986","モリテック　スチール","東S"
"5987","オーネックス","東S"
"5990","スーパーツール","東S"
"5994","ファインシンター","東S"
"5997","協立エアテック","東S"
"5998","アドバネクス","東S"
"5999","イハラサイエンス","東S"
"6016","ジャパンエンジン","東S"
"6018","阪神内燃機工業","東S"
"6022","赤阪鐵工所","東S"
"6023","ダイハツディーゼル","東S"
"6029","アトラグループ","東S"
"6032","インターワークス","東S"
"6037","ファーストロジック","東S"
"6042","ニッキ","東S"
"6044","三機サービス","東S"
"6048","デザインワン・ジャパン","東S"
"6059","ウチヤマＨＬＤＧ","東S"
"6060","こころネット","東S"
"6061","ユニバーサル園芸社","東S"
"6063","日本エマージェンシーアシスタン","東S"
"6074","ジェイエスエス","東S"
"6083","ＥＲＩ　ＨＬＤＧ","東S"
"6091","ウエスコＨＬＤＧ","東S"
"6121","ＴＡＫＩＳＡＷＡ","東S"
"6125","岡本工作機械製作所","東S"
"6131","浜井産業","東S"
"6137","小池酸素工業","東S"
"6138","ダイジェット工業","東S"
"6144","西部電機","東S"
"6145","ＮＩＴＴＯＫＵ","東S"
"6147","ヤマザキ","東S"
"6149","小田原エンジニアリング","東S"
"6150","タケダ機械","東S"
"6155","高松機械工業","東S"
"6156","エーワン精密","東S"
"6158","和井田製作所","東S"
"6159","ミクロン精密","東S"
"6161","エスティック","東S"
"6164","太陽工機","東S"
"6186","一蔵","東S"
"6188","富士ソフトサービスビューロ","東S"
"6208","石川製作所","東S"
"6217","津田駒工業","東S"
"6226","守谷輸送機工業","東S"
"6227","ＡＩメカテック","東S"
"6229","オーケーエム","東S"
"6230","ＳＡＮＥＩ","東S"
"6231","木村工機","東S"
"6233","極東産機","東S"
"6236","ＮＣ　ＨＬＤＧ","東S"
"6239","ナガオカ","東S"
"6245","ヒラノテクシード","東S"
"6246","テクノスマート","東S"
"6248","横田製作所","東S"
"6249","ゲームカード・ジョイコＨＬＤＧ","東S"
"6257","藤商事","東S"
"6265","コンバム","東S"
"6267","ゼネラルパッカー","東S"
"6276","シリウスビジョン","東S"
"6279","瑞光","東S"
"6286","靜甲","東S"
"6292","カワタ","東S"
"6297","鉱研工業","東S"
"6307","サンセイ","東S"
"6312","フロイント産業","東S"
"6316","丸山製作所","東S"
"6319","シンニッタン","東S"
"6322","タクミナ","東S"
"6324","ハーモニック・ドライブ・システ","東S"
"6325","タカキタ","東S"
"6327","北川精機","東S"
"6334","明治機械","東S"
"6335","東京機械製作所","東S"
"6336","石井表記","東S"
"6337","テセック","東S"
"6338","タカトリ","東S"
"6342","太平製作所","東S"
"6343","フリージア・マクロス","東S"
"6346","キクカワエンタープライズ","東S"
"6347","プラコー","東S"
"6356","日本ギア工業","東S"
"6357","三精テクノロジーズ","東S"
"6360","東京自働機械製作所","東S"
"6362","石井鐵工所","東S"
"6365","電業社機械製作所","東S"
"6366","千代田化工建設","東S"
"6373","大同工業","東S"
"6378","木村化工機","東S"
"6380","オリエンタルチエン工業","東S"
"6382","トリニティ工業","東S"
"6384","昭和真空","東S"
"6391","加地テック","東S"
"6392","ヤマダコーポレーション","東S"
"6393","油研工業","東S"
"6396","宇野澤組鐵工所","東S"
"6400","不二精機","東S"
"6402","兼松エンジニアリング","東S"
"6403","水道機工","東S"
"6405","鈴茂器工","東S"
"6408","小倉クラッチ","東S"
"6411","中野冷機","東S"
"6416","桂川電機","東S"
"6424","高見沢サイバネティックス","東S"
"6425","ユニバーサルエンターテインメン","東S"
"6433","ヒーハイスト","東S"
"6466","ＴＶＥ","東S"
"6467","ニチダイ","東S"
"6469","放電精密加工研究所","東S"
"6484","ＫＶＫ","東S"
"6488","ヨシタケ","東S"
"6489","前澤工業","東S"
"6492","岡野バルブ製造","東S"
"6493","ＮＩＴＴＡＮ","東S"
"6494","ＮＦＫ　ＨＬＤＧ","東S"
"6495","宮入バルブ製作所","東S"
"6496","中北製作所","東S"
"6497","ハマイ","東S"
"6505","東洋電機製造","東S"
"6513","オリジン","東S"
"6518","三相電機","東S"
"6524","湖北工業","東S"
"6540","船場","東S"
"6542","ＦＣ　ＨＬＤＧ","東S"
"6543","日宣","東S"
"6546","フルテック","東S"
"6547","グリーンズ","東S"
"6549","ディーエムソリューションズ","東S"
"6551","ツナググループＨＬＤＧ","東S"
"6552","ＧａｍｅＷｉｔｈ","東S"
"6555","ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ","東S"
"6565","ＡＢホテル","東S"
"6566","要興業","東S"
"6570","共和コーポレーション","東S"
"6578","エヌリンクス","東S"
"6599","エブレン","東S"
"6614","シキノハイテック","東S"
